date,hour,open,high,low,close,volume(BTC),ohlc4,SMA48,average_true_range,EMA9,EMA48,10x short,25x short,50x short,100x short,10x long,25x long,50x long,100x long
2022-02-14 12:00:00,12.0,42131.0,42616.0,41980.0,42564.0,24436298.328,42322.75,42280.03,346.14,42156.89,42321.61,46582.2,43685.9,42798.87,42373.03,38499.44,40731.29,41533.88,41942.94
2022-02-14 13:00:00,13.0,42564.0,42709.0,42409.0,42517.0,27484018.5728,42549.75,42286.78,340.64,42235.46,42330.92,46669.02,43767.32,42878.64,42452.01,38571.2,40807.21,41611.29,42021.11
2022-02-14 14:00:00,14.0,42517.0,42849.0,42491.0,42538.0,25181255.0127,42598.75,42297.33,349.07,42308.12,42341.85,46749.3,43842.61,42952.41,42525.04,38637.55,40877.41,41682.88,42093.4
2022-02-14 15:00:00,15.0,42538.0,42673.0,42366.0,42601.0,19282914.8465,42544.5,42306.45,328.93,42355.4,42350.12,46801.54,43891.6,43000.4,42572.56,38680.73,40923.09,41729.45,42140.44
2022-02-14 16:00:00,16.0,42601.0,42842.0,42570.0,42671.0,18041799.2989,42671.0,42311.36,332.21,42418.52,42363.22,46871.29,43957.01,43064.48,42636.0,38738.37,40984.07,41791.64,42203.24
2022-02-14 17:00:00,17.0,42671.0,42871.0,42534.0,42593.0,18774467.5362,42667.25,42310.04,330.57,42468.26,42375.63,46926.26,44008.56,43114.99,42686.0,38783.8,41032.14,41840.65,42252.73
2022-02-14 18:00:00,18.0,42593.0,42669.0,42225.0,42249.0,17545104.9652,42434.0,42301.34,352.14,42461.41,42378.01,46918.69,44001.46,43108.03,42679.12,38777.54,41025.52,41833.9,42245.91
2022-02-14 19:00:00,19.0,42249.0,42305.0,41809.0,42136.0,40415845.7895,42124.75,42287.85,370.5,42394.08,42367.67,46844.29,43931.69,43039.67,42611.44,38716.05,40960.46,41767.56,42178.92
2022-02-14 20:00:00,20.0,42136.0,42336.0,41988.0,42201.0,20722715.0939,42165.25,42277.7,356.14,42348.31,42359.41,46793.72,43884.26,42993.21,42565.44,38674.26,40916.24,41722.48,42133.39
2022-02-14 21:00:00,21.0,42201.0,42304.0,42117.0,42257.0,10790654.0911,42219.75,42277.42,351.43,42322.6,42353.71,46765.3,43857.62,42967.11,42539.6,38650.78,40891.4,41697.14,42107.81
2022-02-14 22:00:00,22.0,42257.0,42782.0,42248.0,42703.0,26484785.4714,42497.5,42286.76,360.5,42357.58,42359.58,46803.96,43893.87,43002.62,42574.75,38682.72,40925.2,41731.61,42142.61
2022-02-14 23:00:00,23.0,42703.0,42881.0,42539.0,42553.0,14919782.558,42669.0,42296.48,365.57,42419.86,42372.21,46872.78,43958.41,43065.85,42637.36,38739.6,40985.38,41792.97,42204.58
2022-02-15 00:00:00,0.0,42553.0,42684.0,42439.0,42595.0,8321768.6505,42567.75,42301.73,357.5,42449.44,42380.19,46905.46,43989.06,43095.88,42667.09,38766.61,41013.95,41822.11,42234.01
2022-02-15 01:00:00,1.0,42595.0,43652.0,42544.0,43486.0,33615279.5421,43069.25,42316.67,422.43,42573.4,42408.31,47042.43,44117.52,43221.73,42791.68,38879.82,41133.72,41944.24,42357.34
2022-02-15 02:00:00,2.0,43486.0,43709.0,43417.0,43597.0,25754381.5827,43552.25,42344.19,397.86,42769.17,42455.01,47258.75,44320.39,43420.48,42988.46,39058.6,41322.87,42137.12,42552.11
2022-02-15 03:00:00,3.0,43597.0,43690.0,43526.0,43591.0,6788723.2749,43601.0,42372.32,388.14,42935.54,42501.78,47442.58,44492.79,43589.38,43155.68,39210.54,41483.61,42301.02,42717.63
2022-02-15 04:00:00,4.0,43591.0,43794.0,43485.0,43494.0,16745387.6387,43591.0,42400.33,384.64,43066.63,42546.24,47587.44,44628.63,43722.47,43287.44,39330.26,41610.27,42430.18,42848.06
2022-02-15 05:00:00,5.0,43494.0,43658.0,43410.0,43595.0,9454764.1608,43539.25,42427.14,380.43,43161.15,42586.77,47691.88,44726.58,43818.43,43382.45,39416.58,41701.6,42523.3,42942.11
2022-02-15 06:00:00,6.0,43595.0,43702.0,43551.0,43568.0,9912316.1456,43604.0,42452.8,371.79,43249.72,42628.29,47789.75,44818.37,43908.35,43471.47,39497.46,41787.17,42610.56,43030.23
2022-02-15 07:00:00,7.0,43568.0,43793.0,43552.0,43722.0,13299669.0082,43658.75,42478.56,364.93,43331.53,42670.35,47880.14,44903.14,43991.4,43553.7,39572.17,41866.21,42691.16,43111.62
